Team ID,Team,Year,Pace,Offensive Rating,Defensive Rating,
1610612757,POR,2016,96,108.8,108,
1610612758,SAC,2021,100,113.6,117.2,
1610612758,SAC,2020,98.9,110.2,112.2,
1610612758,SAC,2019,103.1,110.4,111.5,
1610612758,SAC,2018,94.9,103.7,111.1,
1610612758,SAC,2017,94.9,107.3,111.3,
1610612758,SAC,2016,100,106,108.4,
1610612759,SAS,2021,98.9,111,112.8,
1610612759,SAS,2020,100.5,112.4,113.5,
1610612759,SAS,2019,98.3,112.9,111.2,
1610612759,SAS,2018,95,107.9,104.8,
1610612759,SAS,2017,94.2,111.1,103.5,
1610612759,SAS,2016,93.8,110.3,99,
1610612760,OKC,2021,101,103.5,114,
1610612760,OKC,2020,98.8,110.8,108.8,
1610612760,OKC,2019,102.8,107,107,
1610612760,OKC,2018,96.7,107.2,107.2,
1610612760,OKC,2017,97.8,107.5,107.5,
1610612760,OKC,2016,96.7,105.6,105.6,
1610612761,TOR,2021,99.2,112,112.5,
1610612761,TOR,2020,100.9,111.1,105,
1610612761,TOR,2019,100.2,113.1,107.1,
1610612761,TOR,2018,97.4,113.8,105.9,
1610612761,TOR,2017,94.7,112.3,107.8,
1610612761,TOR,2016,92.9,110,105.2,
1610612762,UTA,2021,98.5,117.6,108.3,
1610612762,UTA,2020,98.6,112.3,109.9,
1610612762,UTA,2019,100.3,110.9,105.7,
1610612762,UTA,2018,95.7,108.4,103.9,
1610612762,UTA,2017,91.6,109.6,105.3,
1610612762,UTA,2016,91,105.9,103.9,
1610612763,MEM,2021,100.4,112,111,
1610612763,MEM,2020,102.8,109.2,110.3,
1610612763,MEM,2019,96.6,106.1,108.8,
1610612763,MEM,2018,94.9,104.5,111,
1610612763,MEM,2017,92.3,107.7,107.1,
1610612763,MEM,2016,93.3,105.4,107.8,
1610612764,WAS,2021,104.1,111.2,113,
1610612764,WAS,2020,102.7,110.9,115.5,
1610612764,WAS,2019,101.4,111.1,113.9,
1610612764,WAS,2018,96.6,109.3,108.7,
1610612764,WAS,2017,97.4,111.2,109.3,
1610612764,WAS,2016,98.5,105.3,105.8,
1610612765,DET,2021,97.9,108,112.5,
1610612765,DET,2020,97.6,109,112.7,
1610612765,DET,2019,97.4,109,109.2,
1610612765,DET,2018,96.2,107.2,107.3,
1610612765,DET,2017,95,106,107.1,
1610612765,DET,2016,95.1,106.1,105.5,
1610612766,CHA,2021,98.3,110.9,112.8,
1610612766,CHA,2020,95.8,106.3,113.3,
1610612766,CHA,2019,98.7,111.4,112.5,
1610612766,CHA,2018,98.4,109.4,109.1,
1610612766,CHA,2017,95.7,108.8,108.6,
1610612766,CHA,2016,95.7,107.1,104.3,
